"Entity","Code","Year","article_per_million_people","patent_per_million_people","researcher_per_million_people","RD_spending_proportion","patent_ai_per_million_people","classification","Developed_Status"
"Sri Lanka","LKA",2016,52.108013,13.068543,105.03859,0.12034,0.045639668,"Lower-middle-income countries","Developing Countries"
"Sweden","SWE",2013,2053.3467,241.68471,6686.093,3.26042,1.3540791,"High-income countries","Developed Countries"
"Sweden","SWE",2014,2127.8364,203.53923,6872.7217,3.10184,0.309392,"High-income countries","Developed Countries"
"Sweden","SWE",2015,2117.004,206.91733,6810.79,3.21903,0.61227727,"High-income countries","Developed Countries"
"Sweden","SWE",2016,2091.8152,204.15294,7107.9805,3.24736,1.2092775,"High-income countries","Developed Countries"
"Sweden","SWE",2017,2063.4666,198.04755,7308.659,3.36279,1.0936716,"High-income countries","Developed Countries"
"Sweden","SWE",2018,2049.2761,180.86456,7433.2104,3.32106,3.046563,"High-income countries","Developed Countries"
"Sweden","SWE",2019,2042.1863,175.49802,7697.836,3.38758,1.5565531,"High-income countries","Developed Countries"
"Sweden","SWE",2020,2110.1897,170.123,7759.499,3.4896,2.2214324,"High-income countries","Developed Countries"
"Switzerland","CHE",2015,2638.1128,178.34427,5310.2373,3.07832,0.36214653,"High-income countries","Developed Countries"
"Switzerland","CHE",2017,2655.3713,158.19325,5258.543,3.07698,0.23658481,"High-income countries","Developed Countries"
"Switzerland","CHE",2019,2604.7107,159.6391,5562.9507,3.1968,0.3497512,"High-income countries","Developed Countries"
"Thailand","THA",2017,154.09007,13.80853,1320.6305,1.00166,0.014052803,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2013,396.0288,57.354694,1173.6686,0.81206,0.039265458,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2014,396.92603,61.014904,1160.4939,0.8564,0.025629146,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2015,413.9383,67.1972,1205.0807,0.87689,0.049991112,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2016,434.001,76.895164,1246.8931,1.11979,0.09797668,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2017,404.9177,99.58604,1369.346,1.17632,0.13239665,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2018,406.79282,86.41541,1530.9047,1.27174,0.2132298,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2019,448.36203,94.28415,1629.7324,1.32146,0.2928852,"Upper-middle-income countries","Developing Countries"
"Turkey","TUR",2020,506.60355,94.13394,1786.5171,1.36757,0.53431404,"Upper-middle-income countries","Developing Countries"
"Ukraine","UKR",2013,160.47704,63.036472,1159.9703,0.733,0.23847328,"Lower-middle-income countries","Developing Countries"
"Ukraine","UKR",2014,159.46352,54.42093,1020.8823,0.65034,0.47854823,"Lower-middle-income countries","Developing Countries"
"Ukraine","UKR",2015,164.53908,50.486225,1005.9972,0.61477,0.26209512,"Lower-middle-income countries","Developing Countries"
"Ukraine","UKR",2016,175.40964,49.80643,1037.2408,0.48339,0.08768693,"Lower-middle-income countries","Developing Countries"
"Ukraine","UKR",2017,200.94606,51.122707,994.07745,0.44879,0.044017926,"Lower-middle-income countries","Developing Countries"
"Ukraine","UKR",2018,227.60008,47.404827,988.07666,0.47113,0.08847815,"Lower-middle-income countries","Developing Countries"
"Ukraine","UKR",2019,269.85645,47.431526,880.55414,0.43384,0.022243254,"Lower-middle-income countries","Developing Countries"
"United Kingdom","GBR",2013,1533.223,232.83772,4178.5015,1.62011,1.2424408,"High-income countries","Developed Countries"
"United Kingdom","GBR",2014,1519.7451,234.6021,4285.535,2.2645,1.0791492,"High-income countries","Developed Countries"
"United Kingdom","GBR",2015,1524.5016,227.93628,4397.222,2.27027,1.4224075,"High-income countries","Developed Countries"
"United Kingdom","GBR",2016,1518.7906,211.34654,4448.352,2.31145,2.8530948,"High-income countries","Developed Countries"
"United Kingdom","GBR",2017,1513.5228,201.33261,4491.317,2.3232,4.159478,"High-income countries","Developed Countries"
"United States","USA",2013,1335.7227,901.2316,3735.7766,2.70215,6.966339,"High-income countries","Developed Countries"
"United States","USA",2014,1329.489,885.298,3836.5981,2.71786,8.473753,"High-income countries","Developed Countries"
"United States","USA",2015,1319.1421,888.2566,3874.7866,2.787,12.050539,"High-income countries","Developed Countries"
"United States","USA",2016,1309.4838,902.5605,3830.4626,2.8535,18.722313,"High-income countries","Developed Countries"
"United States","USA",2017,1304.456,891.18195,3958.564,2.90432,29.653408,"High-income countries","Developed Countries"
"United States","USA",2018,1309.7905,858.35785,4261.9893,3.0101,39.581383,"High-income countries","Developed Countries"
"United States","USA",2019,1310.1844,852.8155,4308.874,3.17049,41.06989,"High-income countries","Developed Countries"
"United States","USA",2020,1356.9471,802.4778,4451.7812,3.46777,37.344284,"High-income countries","Developed Countries"
"Uruguay","URY",2017,226.36574,6.7208133,749.07947,0.44052,0.29512072,"High-income countries","Developed Countries"
